episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100,avg_distance,final_distance
1,-654.9609,300,300,0.934650182723999,-654.9609,-654.9609,-654.9609,2.183201821487605,2.362679674553895
2,-659.45953,300,600,1.435633659362793,-657.2102,-657.2102,-657.2102,2.1981982548881374,2.0506940351085983
3,-680.07275,300,900,1.9086036682128906,-664.83105,-664.83105,-664.83105,2.2669083849600806,2.595681232607135
4,-671.90594,300,1200,2.359743118286133,-666.5998,-666.5998,-666.5998,2.2396850874687044,3.460942161602712
5,-650.6322,300,1500,2.8143386840820312,-663.40625,-663.40625,-663.40625,2.168773506504192,2.2959416490786335
6,-669.0656,300,1800,3.3686599731445312,-664.3495,-664.3495,-664.3495,2.23021861359237,2.6522537246897397
7,-652.2804,300,2100,4.248027563095093,-662.62537,-662.62537,-662.62537,2.174268053044697,2.160175811886381
8,-647.2998,300,2400,4.752580642700195,-660.7096,-660.7096,-660.7096,2.157666122236258,1.9852579030672644
9,-648.69794,300,2700,5.241022109985352,-659.37494,-659.37494,-659.37494,2.1623259434972875,0.6459142767810813
10,-609.12897,300,3000,5.706852436065674,-654.35034,-654.35034,-654.35034,2.030428768965145,2.341251372147653
11,-630.8549,300,3300,6.286215305328369,-651.9398,-652.2144,-652.2144,2.1028492563875023,0.40844193397454875
12,-618.68884,300,3600,6.866217851638794,-647.8628,-649.4206,-649.4206,2.062294088485069,1.1524974919888469
13,-632.1248,300,3900,7.435391426086426,-643.068,-648.09015,-648.09015,2.1070827880431815,1.9541242167199255
14,-599.3015,300,4200,8.575850486755371,-635.8075,-644.6053,-644.6053,1.9976715829058265,2.98697219242006
15,-576.279,300,4500,9.09383511543274,-628.3722,-640.0502,-640.0502,1.920929068625337,1.471549947066964
16,-566.0126,300,4800,9.709236145019531,-618.06683,-635.42285,-635.42285,1.8867073648830952,1.9676371208398298
17,-556.10016,300,5100,10.286557674407959,-608.44885,-630.75684,-630.75684,1.853667579019894,1.9676371208398298
18,-578.65356,300,5400,10.873539924621582,-601.58417,-627.8622,-627.8622,1.92884471879871,2.0175108216478432
19,-550.05817,300,5700,11.46781587600708,-591.7203,-623.7673,-623.7673,1.8335270395056917,2.7308103006577
20,-569.3368,300,6000,12.046452522277832,-587.741,-621.0458,-621.0458,1.897787948761805,1.7029222292327588
21,-555.0441,300,6300,13.294772624969482,-580.16,-617.90283,-617.90283,1.8501461166265927,1.7267441456985018
22,-517.6831,300,6600,13.790579319000244,-570.0593,-613.3474,-613.3474,1.7256100891344515,2.410600380748034
23,-508.5753,300,6900,14.311588525772095,-557.70447,-608.79205,-608.79205,1.6952507841594882,1.009817301406289
24,-522.31384,300,7200,14.809098720550537,-550.0057,-605.1888,-605.1888,1.7410461245270925,1.962672116094523
25,-506.29254,300,7500,15.386293411254883,-543.007,-601.233,-601.233,1.687641706683807,2.157388029817666
26,-535.9263,300,7800,16.04345726966858,-539.9984,-598.7211,-598.7211,1.7864201597388296,1.3504857349942851
27,-527.34436,300,8100,16.651174545288086,-537.12274,-596.0776,-596.0776,1.7578152364875639,2.019488707786906
28,-489.12708,300,8400,17.824893712997437,-528.17017,-592.25793,-592.25793,1.6304233832924353,1.7329253542690948
29,-487.9335,300,8700,18.292948722839355,-521.95764,-588.6606,-588.6606,1.6264442209471723,2.580803710624251
30,-464.68604,300,9000,18.815672159194946,-511.4926,-584.5281,-584.5281,1.5489524697304546,1.4914187543039528
31,-458.73303,300,9300,19.38210129737854,-501.86148,-580.47015,-580.47015,1.5291095221921704,0.8746401560695867
32,-481.5276,300,9600,19.944360971450806,-498.2459,-577.3782,-577.3782,1.6050913587807238,1.4382745226060851
33,-477.39615,300,9900,20.527416706085205,-495.128,-574.34845,-574.34845,1.5913203056746004,2.090211527752944
34,-467.70013,300,10200,21.107691049575806,-489.66666,-571.2117,-571.2117,1.5590001019978779,1.9709574887304868
35,-443.77362,300,10500,22.237550735473633,-483.41473,-567.5706,-567.5706,1.4792452833211942,0.6225401181279839
36,-434.52826,300,10800,22.773032665252686,-473.27496,-563.87494,-563.87494,1.4484277567071646,1.8130642859505106
37,-444.06207,300,11100,23.253429651260376,-464.94672,-560.6368,-560.6368,1.4802070246349328,0.4142791824359722
