episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-308.73245,100,100,0.2562751770019531,-308.73245,-308.73245,-308.73245
2,-308.65646,100,200,0.5139296054840088,-308.69446,-308.69446,-308.69446
3,-74.51021,100,300,0.7720274925231934,-230.63304,-230.63304,-230.63304
4,-148.56976,100,400,1.020676851272583,-210.11722,-210.11722,-210.11722
5,-128.97157,100,500,1.2778544425964355,-193.88809,-193.88809,-193.88809
6,-128.95282,100,600,1.5345263481140137,-183.06555,-183.06555,-183.06555
7,-128.9051,100,700,1.7896218299865723,-175.32835,-175.32835,-175.32835
8,-151.06242,100,800,2.0469000339508057,-172.2951,-172.2951,-172.2951
9,-314.87952,100,900,2.2989022731781006,-188.13782,-188.13782,-188.13782
10,-314.9287,100,1000,2.551786184310913,-200.81691,-200.81691,-200.81691
11,-315.03088,100,1100,2.803863048553467,-201.44675,-211.2,-211.2
12,-34.315674,100,1200,3.053082227706909,-174.01266,-196.45964,-196.45964
13,-34.316963,100,1300,3.3092894554138184,-169.99335,-183.98712,-183.98712
14,-34.389797,100,1400,3.5613389015197754,-158.57535,-173.3016,-173.3016
15,-159.45522,100,1500,3.8129074573516846,-161.6237,-172.37851,-172.37851
16,-159.45808,100,1600,4.066496849060059,-164.67424,-171.57098,-171.57098
17,-159.48824,100,1700,4.324641704559326,-167.73257,-170.86023,-170.86023
18,-159.503,100,1800,4.588321685791016,-168.57663,-170.22928,-170.22928
19,-159.48663,100,1900,4.835230350494385,-153.03732,-169.66386,-169.66386
20,-159.43918,100,2000,5.0900092124938965,-137.48837,-169.15263,-169.15263
21,-136.30849,100,2100,5.349236011505127,-119.61613,-167.58864,-167.58864
22,-235.93498,100,2200,5.60259485244751,-139.77805,-170.6953,-170.6953
23,-116.20027,100,2300,5.847407579421997,-147.96638,-168.32594,-168.32594
24,-116.21494,100,2400,6.092979431152344,-156.14891,-166.15463,-166.15463
25,-116.20696,100,2500,6.341692209243774,-151.82407,-164.15672,-164.15672
26,-207.32863,100,2600,6.6005682945251465,-156.61111,-165.81717,-165.81717
27,-147.00536,100,2700,6.851579427719116,-155.36284,-165.12044,-165.12044
28,-147.02684,100,2800,7.104248046875,-154.11523,-164.47424,-164.47424
29,-181.2552,100,2900,7.349534273147583,-156.29208,-165.0529,-165.0529
30,-181.15309,100,3000,7.5961503982543945,-158.46347,-165.58958,-165.58958
31,-181.1788,100,3100,7.8424742221832275,-162.9505,-166.09245,-166.09245
32,-181.14844,100,3200,8.09298849105835,-157.47186,-166.56296,-166.56296
33,-57.465946,100,3300,8.352443218231201,-151.59842,-163.25699,-163.25699
34,-57.432884,100,3400,8.608708620071411,-145.7202,-160.14452,-160.14452
35,-57.450233,100,3500,8.863948345184326,-139.84453,-157.21039,-157.21039
36,-157.50883,100,3600,9.118392705917358,-134.86255,-157.21869,-157.21869
37,-157.49733,100,3700,9.387266635894775,-135.91176,-157.22623,-157.22623
38,-153.33566,100,3800,9.645682096481323,-136.54265,-157.12383,-157.12383
39,-214.72235,100,3900,9.895442962646484,-139.88936,-158.60071,-158.60071
40,-214.73105,100,4000,10.150177955627441,-143.24716,-160.00398,-160.00398
41,-82.45028,100,4100,10.402099847793579,-133.37431,-158.11243,-158.11243
42,-82.46578,100,4200,10.660257577896118,-123.50604,-156.31131,-156.31131
43,-142.81152,100,4300,10.911973237991333,-132.0406,-155.99736,-155.99736
44,-165.19043,100,4400,11.165109157562256,-142.81636,-156.2063,-156.2063
45,-365.74707,100,4500,11.419872283935547,-173.64603,-160.86276,-160.86276
46,-365.7261,100,4600,11.669938802719116,-194.46774,-165.31631,-165.31631
47,-230.33676,100,4700,11.915714502334595,-201.75171,-166.69972,-166.69972
48,-230.38707,100,4800,12.162484169006348,-209.45683,-168.02655,-168.02655
49,-171.05777,100,4900,12.409653186798096,-205.09038,-168.08841,-168.08841
50,-171.05304,100,5000,12.660031080245972,-200.72258,-168.14769,-168.14769
51,-171.06198,100,5100,12.905686378479004,-209.58377,-165.3943,-168.20483
52,-171.07213,100,5200,13.153934240341187,-218.44438,-162.64261,-168.25998
53,-171.06316,100,5300,13.405041933059692,-221.26956,-164.57367,-168.31287
54,-215.991,100,5400,13.660054445266724,-226.34961,-165.92209,-169.1958
55,-183.02605,100,5500,13.91029405593872,-208.07751,-167.00319,-169.44727
56,-183.01988,100,5600,14.164411067962646,-189.80687,-168.08452,-169.68962
57,-183.01364,100,5700,14.420443534851074,-185.07457,-169.16669,-169.92339
