episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,6743.7876,100,100,0.42362427711486816,6743.7876,6743.7876,6743.7876
2,3226.065,100,200,0.4960458278656006,4984.9263,4984.9263,4984.9263
3,3338.1367,100,300,0.5703701972961426,4435.9966,4435.9966,4435.9966
4,2176.168,100,400,0.6697864532470703,3871.0393,3871.0393,3871.0393
5,2069.5818,100,500,0.7479898929595947,3510.7476,3510.7476,3510.7476
6,2222.6313,100,600,0.8957936763763428,3296.0615,3296.0615,3296.0615
7,1428.853,100,700,0.9734964370727539,3029.3176,3029.3176,3029.3176
8,1265.4602,100,800,1.0441851615905762,2808.8354,2808.8354,2808.8354
9,1164.5897,100,900,1.1174418926239014,2626.1416,2626.1416,2626.1416
10,1430.0715,100,1000,1.199988842010498,2506.5347,2506.5347,2506.5347
11,1261.0997,100,1100,1.3346166610717773,1958.2656,2393.3132,2393.3132
12,1011.0944,100,1200,1.4059839248657227,1736.7686,2278.1282,2278.1282
13,818.8123,100,1300,1.483872652053833,1484.8362,2165.8733,2165.8733
14,815.7565,100,1400,1.5571258068084717,1348.7952,2069.4363,2069.4363
15,366.72122,100,1500,1.6316611766815186,1178.509,1955.9219,1955.9219
16,875.28046,100,1600,1.7669758796691895,1043.7739,1888.3818,1888.3818
17,486.16882,100,1700,1.840364933013916,949.5055,1805.8987,1805.8987
18,633.0879,100,1800,1.9123237133026123,886.26825,1740.7426,1740.7426
19,548.70483,100,1900,1.9926080703735352,824.6798,1678.0037,1678.0037
20,279.53967,100,2000,2.076284646987915,709.6266,1608.0804,1608.0804
21,439.5552,100,2100,2.45440673828125,627.47205,1552.4364,1552.4364
22,528.4084,100,2200,2.5274107456207275,579.2035,1505.8898,1505.8898
23,542.36926,100,2300,2.5978119373321533,551.5592,1463.9977,1463.9977
24,410.14542,100,2400,2.6707558631896973,510.9981,1420.087,1420.087
25,309.92462,100,2500,2.751573085784912,505.31845,1375.6807,1375.6807
26,513.8959,100,2600,2.8884215354919434,469.18002,1342.535,1342.535
27,371.5337,100,2700,2.9616713523864746,457.7165,1306.572,1306.572
28,379.6817,100,2800,3.038577079772949,432.3759,1273.4689,1273.4689
29,292.33032,100,2900,3.108790159225464,406.7384,1239.6366,1239.6366
