episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,600.59534,100,100,0.43455004692077637,600.59534,600.59534,600.59534
2,1917.4187,100,200,0.5078473091125488,1259.0071,1259.0071,1259.0071
3,871.4177,100,300,0.5853786468505859,1129.8107,1129.8107,1129.8107
4,739.9963,100,400,0.6581346988677979,1032.357,1032.357,1032.357
5,798.34216,100,500,0.7332363128662109,985.5541,985.5541,985.5541
6,647.12427,100,600,0.8823168277740479,929.1491,929.1491,929.1491
7,868.79346,100,700,0.9528884887695312,920.52686,920.52686,920.52686
8,503.657,100,800,1.0204567909240723,868.41815,868.41815,868.41815
9,658.67474,100,900,1.099860668182373,845.11334,845.11334,845.11334
10,640.8759,100,1000,1.1699795722961426,824.6896,824.6896,824.6896
11,740.866,100,1100,1.3117313385009766,838.7166,817.0693,817.0693
12,983.76904,100,1200,1.3844807147979736,745.3517,830.96094,830.96094
13,923.3178,100,1300,1.455237865447998,750.5417,838.0653,838.0653
14,690.3568,100,1400,1.5336558818817139,745.57776,827.51465,827.51465
15,1263.8081,100,1500,1.6088237762451172,792.1243,856.6009,856.6009
16,826.1837,100,1600,1.7441699504852295,810.0302,854.6998,854.6998
17,606.14764,100,1700,1.8178422451019287,783.7657,840.0791,840.0791
18,837.19086,100,1800,1.8907272815704346,817.119,839.91864,839.91864
19,1409.6718,100,1900,1.9693117141723633,892.21875,869.90564,869.90564
20,782.16864,100,2000,2.041966676712036,906.348,865.51874,865.51874
21,2352.1846,100,2100,2.432878017425537,1067.4799,936.3123,936.3123
22,3709.887,100,2200,2.5052223205566406,1340.0916,1062.3839,1062.3839
23,1829.0914,100,2300,2.580495834350586,1430.6691,1095.719,1095.719
24,2090.686,100,2400,2.650804281234741,1570.7019,1137.1761,1137.1761
25,3090.2014,100,2500,2.7177555561065674,1753.3412,1215.2971,1215.2971
26,753.36957,100,2600,2.8461873531341553,1746.0598,1197.5306,1197.5306
27,5684.6353,100,2700,2.914416551589966,2253.9087,1363.7197,1363.7197
28,2777.467,100,2800,2.986755847930908,2447.9363,1414.2108,1414.2108
29,755.42004,100,2900,3.064213275909424,2382.5112,1391.4939,1391.4939
30,958.5571,100,3000,3.131836414337158,2400.15,1377.0627,1377.0627
31,2053.2202,100,3100,3.2636570930480957,2370.2534,1398.8743,1398.8743
32,1180.3301,100,3200,3.336275577545166,2117.298,1392.0446,1392.0446
33,2307.3862,100,3300,3.4054501056671143,2165.1274,1419.7822,1419.7822
34,575.7404,100,3400,3.4729692935943604,2013.6328,1394.9575,1394.9575
35,2616.9106,100,3500,3.5408263206481934,1966.3037,1429.8705,1429.8705
36,2207.0198,100,3600,3.6691653728485107,2111.6687,1451.4579,1451.4579
37,1091.2198,100,3700,3.736233949661255,1652.3271,1441.7217,1441.7217
38,1035.4143,100,3800,3.8101963996887207,1478.1218,1431.0294,1431.0294
39,1834.0073,100,3900,3.8761403560638428,1585.9807,1441.3622,1441.3622
40,1174.838,100,4000,3.9445860385894775,1607.6088,1434.699,1434.699
41,898.2057,100,4100,4.374664783477783,1492.1072,1421.6139,1421.6139
42,962.5701,100,4200,4.4419708251953125,1470.3313,1410.6842,1410.6842
43,920.89984,100,4300,4.510351896286011,1331.6825,1399.2938,1399.2938
44,845.07385,100,4400,4.5862085819244385,1358.616,1386.698,1386.698
45,779.43964,100,4500,4.654580116271973,1174.8689,1373.2034,1373.2034
46,953.9417,100,4600,4.781700611114502,1049.5609,1364.089,1364.089
47,897.132,100,4700,4.858865737915039,1030.1522,1354.1538,1354.1538
48,515.6205,100,4800,4.926190614700317,978.17285,1336.6843,1336.6843
49,872.358,100,4900,4.993791818618774,882.00793,1327.2083,1327.2083
