episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100,avg_distance,final_distance
1,-176.51044982671738,100,100,0.5480844974517822,-176.51044982671738,-176.51044982671738,-176.51044982671738,1.765104491564418,1.5682701883506416
2,-182.29367218911648,100,200,0.7416300773620605,-179.40206100791693,-179.40206100791693,-179.40206100791693,1.8229367241924685,3.074064286454293
3,-180.47037202119827,100,300,0.9519546031951904,-179.75816467901072,-179.75816467901072,-179.75816467901072,1.8047037167773485,1.1555166499799103
4,-178.5445665717125,100,400,1.1231939792633057,-179.45476515218616,-179.45476515218616,-179.45476515218616,1.7854456643071046,1.6879362013820516
5,-184.00877791643143,100,500,1.2779932022094727,-180.3655677050352,-180.3655677050352,-180.3655677050352,1.8400877705097878,1.664376621535612
6,-184.3564258813858,100,600,1.5683529376983643,-181.03071073442698,-181.03071073442698,-181.03071073442698,1.8435642506266723,1.8531807747390796
7,-179.63966137170792,100,700,1.7684648036956787,-180.8319893968957,-180.8319893968957,-180.8319893968957,1.7963966165691252,2.2030616057094083
8,-198.66125816106796,100,800,1.9764189720153809,-183.06064799241722,-183.06064799241722,-183.06064799241722,1.9866125777148604,0.9946035344327782
9,-179.58452701568604,100,900,2.1527767181396484,-182.67441232833596,-182.67441232833596,-182.67441232833596,1.7958452670681189,1.6260766440812409
10,-189.41012981534004,100,1000,2.3392701148986816,-183.3479840770364,-183.3479840770364,-183.3479840770364,1.8941012895086786,1.6773812248046476
11,-184.19313290715218,100,1100,2.6054110527038574,-184.11625238507986,-183.4248157888651,-183.4248157888651,1.8419313233799643,1.126644545408006
12,-178.62101630866528,100,1200,2.7938754558563232,-183.74898679703475,-183.0244991655151,-183.0244991655151,1.7862101597672801,1.7180089572591097
13,-188.72560769319534,100,1300,3.01139235496521,-184.57451036423444,-183.46304597533666,-183.46304597533666,1.8872560710449031,1.9501643070651824
14,-190.69736018776894,100,1400,3.1845290660858154,-185.78978972584008,-183.97978270479612,-183.97978270479612,1.9069735929151113,2.473131992163976
15,-187.08213025331497,100,1500,3.382524013519287,-186.09712495952846,-184.18660587469736,-184.18660587469736,1.8708212997851266,2.004932539002198
16,-182.11683011054993,100,1600,3.640002727508545,-185.87316538244485,-184.05724488943815,-184.05724488943815,1.8211683007984194,2.2713467738907975
17,-177.28776286542416,100,1700,3.837714910507202,-185.6379755318165,-183.65904006449614,-183.65904006449614,1.772877622916796,1.655990803658701
18,-186.45614068210125,100,1800,4.006931781768799,-184.4174637839198,-183.814434543252,-183.814434543252,1.8645613960085987,1.5565335830739893
19,-182.90198013186455,100,1900,4.205697774887085,-184.74920909553765,-183.76641062686318,-183.76641062686318,1.8290197909615813,2.2358665517331446
20,-188.9357886314392,100,2000,4.39909815788269,-184.70177497714758,-184.02487952709197,-184.02487952709197,1.8893578747598727,2.793738060626122
21,-173.22954174876213,100,2100,5.158560514450073,-183.6054158613086,-183.51081582336198,-183.51081582336198,1.7322954098128,1.6681528205938694
22,-170.85617059469223,100,2200,5.365003824234009,-182.82893128991128,-182.93560467660427,-182.93560467660427,1.7085617036071072,1.5878046608317427
23,-168.2924384176731,100,2300,5.588829278945923,-180.78561436235904,-182.29894527404204,-182.29894527404204,1.682924380784971,2.0590743398606586
24,-171.7344834804535,100,2400,5.810420274734497,-178.8893266916275,-181.85875936597586,-181.85875936597586,1.7173448324031029,0.779333732565896
25,-155.20913136005402,100,2500,5.988444805145264,-175.70202680230142,-180.792774245739,-180.792774245739,1.5520913106917975,1.5409172161448481
26,-165.71014562249184,100,2600,6.2691192626953125,-174.0613583534956,-180.21267314484487,-180.21267314484487,1.6571014534848485,1.7536305000541486
27,-177.42970941960812,100,2700,6.481334209442139,-174.075553008914,-180.10960041428055,-180.10960041428055,1.7742970871000796,0.5038941213478872
28,-175.8545258641243,100,2800,6.697521686553955,-173.0153915271163,-179.95763346606068,-179.95763346606068,1.7585452560414692,1.9258372519346416
29,-170.42527449131012,100,2900,6.8868889808654785,-171.76772096306087,-179.62893143244858,-179.62893143244858,1.7042527411063813,1.550736502627615
30,-171.1579945385456,100,3000,7.113065004348755,-169.9899415537715,-179.34656686931848,-179.34656686931848,1.711579942064746,0.5345027869466648
31,-165.13768336176872,100,3100,7.428048133850098,-169.18075571507217,-178.8882157884298,-178.8882157884298,1.6513768299414,3.0370711661628063
32,-173.38920740783215,100,3200,7.673177480697632,-169.43405939638615,-178.7163717765361,-178.7163717765361,1.7338920670582982,1.5468951788698002
33,-167.4769361615181,100,3300,7.927464246749878,-169.35250917077065,-178.37578281850526,-178.37578281850526,1.6747693583967362,1.4011078692206997
34,-167.83724775910378,100,3400,8.193493604660034,-168.96278559863566,-178.06582590499346,-178.06582590499346,1.6783724689009245,1.3159905507230234
35,-158.72547459602356,100,3500,8.450210332870483,-169.31441992223262,-177.51324443902288,-177.51324443902288,1.5872547513869353,1.6670754151195404
36,-172.66191393136978,100,3600,8.761204719543457,-170.00959675312043,-177.37848525825473,-177.37848525825473,1.7266191367266586,1.7724166764897185
37,-171.64909084141254,100,3700,9.040396451950073,-169.43153489530087,-177.22363676050225,-177.22363676050225,1.7164909140530313,2.2111476549659193
38,-165.661098793149,100,3800,9.299622297286987,-168.41219218820333,-176.9193594455719,-176.9193594455719,1.6566109805836176,1.4465274710648355
39,-165.0693336725235,100,3900,9.555969476699829,-167.87659810632468,-176.61551263087836,-176.61551263087836,1.650693330292092,1.9279304280657374
40,-172.12972602248192,100,4000,9.82833743095398,-167.97377125471832,-176.50336796566845,-176.50336796566845,1.7212972629507235,1.550736502627615
41,-173.64104893803596,100,4100,12.51441740989685,-168.82410781234503,-176.4335553064579,-176.4335553064579,1.7364104862336336,1.6146034474753357
42,-158.56346893310547,100,4200,12.722362279891968,-167.34153396487235,-176.00807705947332,-176.00807705947332,1.5856346825602976,2.0337619128074196
43,-153.61003109812737,100,4300,12.915887355804443,-165.95484345853328,-175.48719226967458,-175.48719226967458,1.5361003094868346,1.0283409909071395
44,-153.0141777396202,100,4400,13.11555290222168,-164.47253645658492,-174.97644193944606,-174.97644193944606,1.5301417769042691,1.8795533375528415
45,-158.00927531719208,100,4500,13.322897911071777,-164.40091652870177,-174.59939379228487,-174.59939379228487,1.5800927567906655,1.3355224341091103
46,-153.86392086744308,100,4600,13.589659690856934,-162.5211172223091,-174.14862264174482,-174.14862264174482,1.5386392033297573,1.6088392897601724
47,-160.1814465522766,100,4700,13.817800760269165,-161.37435279339553,-173.85144868239442,-173.85144868239442,1.6018144603307487,0.7727040499525106
48,-159.71887937188148,100,4800,14.032259702682495,-160.78013085126878,-173.5570201550921,-173.5570201550921,1.5971887869358974,1.550736502627615
49,-156.9259376525879,100,4900,14.254533767700195,-159.9657912492752,-173.2176103081022,-173.2176103081022,1.5692593676988633,0.7322378783625709
50,-155.7761805653572,100,5000,14.496734619140625,-158.33043670356273,-172.8687817132473,-172.8687817132473,1.5577617944875601,1.550736502627615
51,-168.6823054999113,100,5100,14.786203384399414,-157.83456235975027,-172.71221882671117,-172.78669394435835,1.6868230504975208,0.5620100520553036
52,-156.30221077799797,100,5200,15.031940698623657,-157.6084365442395,-172.1923895984888,-172.4696846526976,1.5630221050690916,1.550736502627615
53,-158.38966611027718,100,5300,15.276628494262695,-158.0864000454545,-171.7507754802704,-172.2040239254821,1.5838966627365592,1.2502651787252563
54,-159.98871809244156,100,5400,15.547243356704712,-158.78385408073663,-171.37965851068498,-171.97781455820356,1.5998871774781773,1.553137136067047
55,-154.54501008987427,100,5500,15.773964405059814,-158.43742755800486,-170.79038315415383,-171.66085447696122,1.5454500983664696,1.6489834860997625
56,-153.1270501613617,100,5600,17.47055697441101,-158.3637404873967,-170.16579563975336,-171.32989368561124,1.5312704979391802,1.6688433453236151
57,-155.7435648739338,100,5700,18.03139328956604,-157.91995231956244,-169.68787370979786,-171.0564493204941,1.5574356451071023,0.9242900632345245
58,-170.87235644459724,100,5800,18.241233587265015,-159.03530002683402,-169.13209567546843,-171.05327530539242,1.7087235589530199,1.9394213275084866
59,-162.21419742703438,100,5900,18.5024893283844,-159.56412600427865,-168.7846890836954,-170.9034604260982,1.6221419664006798,1.7440559320268898
60,-157.55939029157162,100,6000,18.79349994659424,-159.7424469769001,-168.14767429322004,-170.68105925718945,1.5755938944513361,0.7305712173145051
61,-154.57084384560585,100,6100,19.119030952453613,-158.33130081146956,-167.55522851198913,-170.41695736519625,1.5457084315102327,2.0696127010101972
62,-158.53850162029266,100,6200,19.999431848526,-158.55492989569902,-167.15357821822167,-170.22536936931073,1.585385003994635,2.5148934277740924
63,-156.52087223529816,100,6300,20.172786474227905,-158.36805050820112,-166.50948350906373,-170.00783766877083,1.5652087150039133,1.4369011991583005
64,-147.12254345417023,100,6400,20.329029083251953,-157.081433044374,-165.63798717439175,-169.6502549466677,1.4712254317456905,0.45819596082398345
65,-158.42344203591347,100,6500,20.4857234954834,-157.4692762389779,-165.0648134100437,-169.4775347480407,1.5842344129839503,1.8825500015783607
66,-160.45201951265335,100,6600,20.728827238082886,-158.20177317410707,-164.6315171980858,-169.3407845172015,1.6045201949647478,0.33918522537889784
67,-155.46354622393847,100,6700,20.891663074493408,-158.17377130910754,-164.19503286525608,-169.13366155760056,1.5546354534745734,1.6046535788975738
68,-158.78629118204117,100,6800,21.07030487060547,-156.96516478285193,-163.64163587525488,-168.9814943461953,1.5878629078041784,1.8120997196922923
69,-150.3292085826397,100,6900,21.232683897018433,-155.77666589841246,-162.99018044427038,-168.71117136411476,1.5032920828576095,1.7171447295027058
70,-159.55036413669586,100,7000,21.416446685791016,-155.9757632829249,-162.4024719543755,-168.58030268943736,1.595503643491182,2.694442377543504
71,-157.22982907667756,100,7100,21.737420320510864,-156.24166180603206,-162.08247770093382,-168.42043686390554,1.5722982847063742,0.9426765286268614
72,-148.148985221982,100,7200,21.949652194976807,-155.202710166201,-161.6283339934796,-168.13888892443435,1.481489843899246,0.28672044636858474
73,-153.0490642786026,100,7300,22.20784902572632,-154.85552937053143,-161.3234665106982,-167.93217899777915,1.530490639876579,1.7923007044596353
74,-156.62621647119522,100,7400,22.465660572052002,-155.80589667223393,-161.02130117051303,-167.77939572039287,1.5662621661437661,3.072890084167735
75,-156.4170152693987,100,7500,22.663734197616577,-155.60525399558247,-161.04545884869992,-167.62789731437962,1.5641701492073268,1.5317499865868653
76,-165.36261400580406,100,7600,23.028679847717285,-156.09631344489753,-161.03850821636618,-167.59809095505625,1.6536261391896714,2.319154624863234
77,-159.91454601287842,100,7700,24.142186403274536,-156.54141342379154,-160.68820494823157,-167.49830465710588,1.599145454996116,1.6410246437055644
78,-152.0442130640149,100,7800,24.43410634994507,-155.8672056119889,-160.2119986922294,-167.3001752777073,1.520442122356077,1.421426883105633
79,-147.46909642219543,100,7900,24.68217420578003,-155.58119439594446,-159.7528751308471,-167.04914896308054,1.4746909631720373,1.2652482356062753
80,-155.2012444883585,100,8000,24.971837759017944,-155.14628243111073,-159.43374012984336,-166.90105015714653,1.5520124353466604,1.4955623248807333
81,-145.83625055849552,100,8100,25.26785683631897,-154.00692457929253,-159.0477114737779,-166.6409909028422,1.458362502371852,0.9873032440005913
82,-155.55754673480988,100,8200,26.097127437591553,-154.74778073057533,-158.69107826031745,-166.5058269495735,1.5555754604932812,0.9232057912265457
83,-146.80693435668945,100,8300,26.25249457359314,-154.123567738384,-158.27767822422086,-166.26849089423754,1.4680693370073894,1.6081957341311728
84,-155.0342449247837,100,8400,26.404327630996704,-153.96437058374286,-158.02161816753448,-166.13474987079167,1.5503424448783198,1.2440019156433717
85,-150.17384976148605,100,8500,26.584737539291382,-153.3400540329516,-157.8505856708437,-165.94697457538808,1.5017384958066962,1.5479855848895299
86,-149.57648847997189,100,8600,26.830478191375732,-151.76144148036838,-157.38887716181577,-165.7566200859065,1.4957648775190844,1.0039210448854756
87,-143.8839867040515,100,8700,26.9985454082489,-150.15838554948567,-156.83357507906854,-165.50521050680473,1.4388398666236863,1.4351862677932037
88,-152.8008151948452,100,8800,27.18778109550476,-150.2340457625687,-156.57636940710248,-165.36084237825972,1.5280081492000699,0.8958311015428918
89,-147.87300691008568,100,8900,27.374558687210083,-150.27443681135773,-156.23244287185372,-165.16434984490945,1.4787300689225074,1.7992286310904375
90,-142.81395813822746,100,9000,27.553396701812744,-149.03570817634463,-155.64612751416863,-164.91601215927966,1.4281395795745973,0.8284027202979812
91,-141.64174658060074,100,9100,27.843275785446167,-148.61625777855517,-155.00614146701992,-164.66025099907438,1.416417461845176,1.9921385690349114
92,-145.68979665637016,100,9200,28.069214820861816,-147.62948277071118,-154.7486680214852,-164.45405040839282,1.456897964029687,1.0524362820298003
93,-142.03289341926575,100,9300,28.25321388244629,-147.1520786769688,-154.51712526790797,-164.2129626988323,1.4203289341079637,2.3000529928388107
94,-141.80945575237274,100,9400,28.495866060256958,-145.82959975972773,-154.29303082816304,-163.97462751855082,1.4180945526504263,1.550736502627615
95,-141.54581728577614,100,9500,28.722445249557495,-144.96679651215672,-153.9637616675347,-163.73853477925846,1.4154581698988549,1.5796978412637874
96,-140.74000906944275,100,9600,29.004046201705933,-144.0831485711038,-153.7012834315747,-163.49896680311454,1.4074000842299186,1.7358829758641143
97,-143.03405785560608,100,9700,29.213994026184082,-143.99815568625928,-153.3583356576413,-163.28798836035674,1.4303405715842594,1.550736502627615
98,-146.32443258166313,100,9800,29.4183988571167,-143.35051742494107,-153.0904467218369,-163.11489085241087,1.4632443187526065,1.550736502627615
99,-146.40086846798658,100,9900,29.616931676864624,-143.20330358073116,-152.8799453381449,-162.9460623434773,1.4640086851086458,1.1161957833626182
100,-133.69902668893337,100,10000,29.88206386566162,-142.29181043580175,-152.4384022606164,-162.65359198693187,1.3369902677919223,2.15194699034456
101,-146.1669664233923,100,10100,30.229677200317383,-142.7443324200809,-151.98809547908604,-162.35015715289862,1.4616696492339285,2.0133737692127793
102,-148.11632844805717,100,10200,30.526512145996094,-142.9869855992496,-151.82437783248722,-162.008383715488,1.4811632767454697,1.550736502627615
103,-137.18818244338036,100,10300,31.535284519195557,-142.50251450166107,-151.4003481591493,-161.57556181970983,1.3718818176254726,1.550736502627615
104,-145.46450594067574,100,10400,31.7525155544281,-142.86801952049137,-151.10986391611397,-161.24476121339947,1.454645047692538,1.0840757466123405
105,-136.41496106237173,100,10500,31.930954933166504,-142.35493389815093,-150.74726293556392,-160.76882304485886,1.364149613040115,0.10878988427863057
106,-133.60729187726974,100,10600,32.2342426776886,-141.64166217893361,-150.3568677698821,-160.2613317048177,1.336072911973855,1.550736502627615
107,-133.97996684908867,100,10700,32.48711156845093,-140.7362530782819,-149.92159580938517,-159.80473475959153,1.3397996673744792,0.44508710425959
108,-131.62061093002558,100,10800,32.645893573760986,-139.26587091311814,-149.13656089909375,-159.1343282872811,1.3162061085796222,0.2372663162937269
109,-138.33159244060516,100,10900,32.811076402664185,-138.45894331038,-148.65890879936515,-158.7217989415303,1.3833159293428914,1.7257447062711584
110,-137.31548918783665,100,11000,32.96357989311218,-138.82058956027032,-148.25403077729047,-158.20085253525525,1.3731548826356517,1.3978380346631194
111,-137.9234639108181,100,11100,33.20320534706116,-137.99623930901288,-147.9210831785947,-157.7381558452919,1.379234636486341,1.5033756325519203
112,-139.3797809034586,100,11200,33.356456995010376,-137.12258455455304,-147.53790876425802,-157.34574349123986,1.3937978036836367,1.8932081528573521
113,-138.89700324833393,100,11300,33.5202522277832,-137.2934666350484,-147.18543138451875,-156.84745744679122,1.3889700251824257,0.7210505451708207
114,-127.32620626688004,100,11400,33.68673872947693,-135.4796366676688,-146.78950464077295,-156.21374590758234,1.2732620541932027,1.550736502627615
115,-140.33716513216496,100,11500,33.89744234085083,-135.87185707464815,-146.42777910269797,-155.74629625637084,1.4033716486960464,0.85030863546909
116,-132.72522339224815,100,11600,34.226515769958496,-135.783650226146,-145.87324318028988,-155.25238018918782,1.32725223205179,1.4471089033516114
117,-142.19678270816803,100,11700,34.499993562698364,-136.60533181205392,-145.60790790997444,-154.90147038761526,1.421967823962253,1.2729753623291449
118,-139.11979734897614,100,11800,34.74715757369995,-137.35525045394897,-145.21457803331316,-154.428106954284,1.3911979756772452,1.3663944955929042
119,-141.3298716545105,100,11900,34.996723651885986,-137.6550783753395,-145.03459129475058,-154.01238586951047,1.4132987132939814,1.0469100500737638
120,-145.1144923195243,100,12000,35.297871351242065,-138.43497868850827,-144.74587385840715,-153.5741729063913,1.4511449240089902,1.550736502627615
121,-139.64382116496563,100,12100,35.64078378677368,-138.60701441392303,-144.3941537001729,-153.23831570055336,1.3964382068498031,1.174137619014663
