episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100,avg_distance,final_distance
1,-604.83496,300,300,0.9702813625335693,-604.83496,-604.83496,-604.83496,2.0161168884020975,2.6095620965384767
2,-606.02313,300,600,1.4574933052062988,-605.4291,-605.4291,-605.4291,2.020076615640677,2.155804668960032
3,-611.2026,300,900,1.9273316860198975,-607.3536,-607.3536,-607.3536,2.037341744249749,2.027737704623579
4,-608.15204,300,1200,2.38348126411438,-607.5532,-607.5532,-607.5532,2.027173037636824,1.7168905295473058
5,-604.37335,300,1500,2.852445363998413,-606.91724,-606.91724,-606.91724,2.014578353725235,2.611249490370301
6,-589.24493,300,1800,3.4007017612457275,-603.97186,-603.97186,-603.97186,1.9641499061444596,2.0082908486296662
7,-588.8645,300,2100,4.394915580749512,-601.8136,-601.8136,-601.8136,1.9628820151583226,1.7145424188984841
8,-541.5576,300,2400,4.8627660274505615,-594.2817,-594.2817,-594.2817,1.805192199333315,1.5422655953453324
9,-556.6664,300,2700,5.334431171417236,-590.10223,-590.10223,-590.10223,1.8555550958032996,2.838375960266763
10,-545.5098,300,3000,5.7980382442474365,-585.64294,-585.64294,-585.64294,1.8183661608220894,2.9111657951137144
11,-537.7303,300,3300,6.431382179260254,-578.9325,-581.2873,-581.2873,1.7924347259633988,1.4126088065175797
12,-563.6181,300,3600,6.920054912567139,-574.692,-579.8149,-579.8149,1.8787275021717225,2.158712272491033
13,-543.86053,300,3900,7.457961797714233,-567.9577,-577.04913,-577.04913,1.812867731874613,2.2508269431990984
14,-532.1809,300,4200,8.671592235565186,-560.36066,-573.84424,-573.84424,1.7739365040125412,2.2039363799995515
15,-617.70593,300,4500,9.143529176712036,-561.694,-576.7684,-576.7684,2.0923534637784105,2.4705888174363184
16,-627.3201,300,4800,9.690061807632446,-565.50146,-579.92786,-579.92786,2.091067094702027,1.8249627853615338
17,-633.8226,300,5100,10.205374479293823,-569.99725,-583.09814,-583.09814,2.112741321338735,2.7504787691977293
18,-635.00183,300,5400,10.738521575927734,-579.3417,-585.9817,-585.9817,2.116672464548436,1.9938106370192086
19,-623.99347,300,5700,11.304178237915039,-586.07434,-587.98224,-587.98224,2.0799785997606075,2.1937219856868952
