episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,169.42227,100,100,0.45053887367248535,169.42227,169.42227,169.42227
2,117.90862,100,200,0.5272464752197266,143.66545,143.66545,143.66545
3,171.98048,100,300,0.6079204082489014,153.1038,153.1038,153.1038
4,-24.13946,100,400,0.7016181945800781,108.792984,108.792984,108.792984
5,-7.811204,100,500,0.7869119644165039,85.472145,85.472145,85.472145
6,-38.264336,100,600,0.9510703086853027,64.849396,64.849396,64.849396
7,-186.90614,100,700,1.04310941696167,28.88432,28.88432,28.88432
8,-224.70546,100,800,1.1214354038238525,-2.8143997,-2.8143997,-2.8143997
9,-211.44902,100,900,1.2080051898956299,-25.996025,-25.996025,-25.996025
10,-176.56247,100,1000,1.4011023044586182,-41.052666,-41.052666,-41.052666
11,-222.8182,100,1100,1.5506844520568848,-80.27672,-57.576805,-57.576805
12,-154.47972,100,1200,1.6356747150421143,-107.51555,-65.65205,-65.65205
13,-111.39362,100,1300,1.7115378379821777,-135.85297,-69.17063,-69.17063
14,-116.68049,100,1400,1.7949633598327637,-145.10709,-72.56419,-72.56419
15,33.469067,100,1500,1.8779702186584473,-140.97903,-65.49531,-65.49531
16,66.4137,100,1600,2.0408546924591064,-130.51123,-57.251,-57.251
17,-112.52311,100,1700,2.11428165435791,-123.07292,-60.502296,-60.502296
18,-138.4994,100,1800,2.1906514167785645,-114.45233,-64.83547,-64.83547
19,-234.10399,100,1900,2.2762837409973145,-116.71782,-73.74434,-73.74434
20,-191.66255,100,2000,2.469388008117676,-118.22783,-79.64025,-79.64025
21,-41.574436,100,2100,2.880854606628418,-100.10346,-77.8276,-77.8276
22,-56.353287,100,2200,2.9564099311828613,-90.29082,-76.851494,-76.851494
23,61.143074,100,2300,3.0266075134277344,-73.03715,-70.85173,-70.85173
24,-155.50436,100,2400,3.1125125885009766,-76.91953,-74.37892,-74.37892
25,-153.26666,100,2500,3.2053167819976807,-95.59311,-77.53443,-77.53443
26,-136.3006,100,2600,3.3532958030700684,-115.864525,-79.79467,-79.79467
27,-191.89253,100,2700,3.427123785018921,-123.80149,-83.94644,-83.94644
28,-107.55421,100,2800,3.504521131515503,-120.706955,-84.78957,-84.78957
29,-125.15119,100,2900,3.5826241970062256,-109.81167,-86.18135,-86.18135
30,-229.22127,100,3000,3.766690731048584,-113.56755,-90.94935,-90.94935
31,-105.22927,100,3100,3.910926342010498,-119.93303,-91.40999,-91.40999
32,-83.68772,100,3200,3.998978853225708,-122.66648,-91.16867,-91.16867
33,-179.23398,100,3300,4.0736165046691895,-146.7042,-93.83731,-93.83731
34,-202.4881,100,3400,4.1520256996154785,-151.40256,-97.03292,-97.03292
35,-185.76846,100,3500,4.231518983840942,-154.65273,-99.56823,-99.56823
36,-193.30928,100,3600,4.386991024017334,-160.3536,-102.17215,-102.17215
37,-205.34148,100,3700,4.465739011764526,-161.6985,-104.96051,-104.96051
38,-197.99327,100,3800,4.556165933609009,-170.7424,-107.40874,-107.40874
39,-225.48685,100,3900,4.633625268936157,-180.77597,-110.436386,-110.436386
40,-219.46838,100,4000,4.809779405593872,-179.80067,-113.162186,-113.162186
41,-8.675726,100,4100,5.265697717666626,-170.14532,-110.61373,-110.61373
42,-91.94225,100,4200,5.338543891906738,-170.9708,-110.169174,-110.169174
43,-178.88087,100,4300,5.420777797698975,-170.93546,-111.76712,-111.76712
44,-167.66412,100,4400,5.4965596199035645,-167.45308,-113.037506,-113.037506
45,-242.97798,100,4500,5.57212233543396,-173.17403,-115.92508,-115.92508
46,-269.51135,100,4600,5.718332052230835,-180.79422,-119.26391,-119.26391
47,-285.44833,100,4700,5.802877902984619,-188.8049,-122.79974,-122.79974
48,-273.25647,100,4800,5.8921730518341064,-196.33124,-125.934265,-125.934265
49,-234.8141,100,4900,5.971083879470825,-197.26396,-128.1563,-128.1563
50,-131.59712,100,5000,6.162352085113525,-188.47684,-128.22511,-128.22511
51,-121.7963,100,5100,6.310259580612183,-199.7889,-134.04948,-128.09906
52,-128.17444,100,5200,6.386993646621704,-203.41211,-138.97115,-128.10051
53,-65.664734,100,5300,6.466208457946777,-192.0905,-143.72404,-126.92247
54,70.66273,100,5400,6.544803857803345,-168.2578,-141.828,-123.26349
55,-0.6954138,100,5500,6.619904279708862,-144.02957,-141.6857,-121.03498
56,-147.04013,100,5600,6.770837783813477,-131.78244,-143.8612,-121.49935
57,-82.254166,100,5700,6.845863103866577,-111.46301,-141.76817,-120.810844
58,76.86084,100,5800,6.9277262687683105,-76.45128,-135.73683,-117.40272
59,-41.681015,100,5900,6.999638319015503,-57.137978,-132.34149,-116.1193
60,-138.18527,100,6000,7.18949818611145,-57.79679,-131.57393,-116.48706
61,-29.005714,100,6100,7.349815845489502,-48.51773,-127.697685,-115.05294
62,-128.70392,100,6200,7.694121360778809,-48.57068,-127.182175,-115.273125
63,100.691,100,6300,7.774146795272827,-31.935104,-122.94049,-111.84512
64,407.52832,100,6400,7.854632139205933,1.7514527,-112.4563,-103.729904
65,107.51084,100,6500,7.934495210647583,12.572081,-110.97547,-100.48005
66,123.75064,100,6600,8.087414503097534,39.651157,-109.82874,-97.08262
67,156.85706,100,6700,8.169840574264526,63.56228,-104.44113,-93.29247
68,103.41781,100,6800,8.257873058319092,66.21797,-99.60278,-90.39967
69,-82.44694,100,6900,8.335139751434326,62.14138,-96.56964,-90.28442
70,-159.56995,100,7000,8.520049095153809,60.00291,-95.92778,-91.27421
71,-100.86607,100,7100,8.671860456466675,52.816883,-97.113625,-91.4093
72,-151.27171,100,7200,8.745257139205933,50.5601,-99.011986,-92.24073
73,-146.87624,100,7300,8.826218366622925,25.803375,-103.17237,-92.98917
74,16.899391,100,7400,8.91329050064087,-13.259516,-99.724304,-91.50418
75,-158.27171,100,7500,8.98956036567688,-39.837776,-99.8244,-92.39442
76,-218.34378,100,7600,9.16877269744873,-74.04722,-101.46526,-94.05164
77,-243.74615,100,7700,9.251211881637573,-114.107544,-102.50234,-95.99573
78,-265.0111,100,7800,9.323996305465698,-150.95042,-105.65148,-98.16259
79,-219.23964,100,7900,9.402402639389038,-164.6297,-107.53325,-99.69521
80,-236.77122,100,8000,9.579793453216553,-172.34982,-107.68425,-101.40866
81,465.04538,100,8100,9.760746479034424,-115.75868,-96.27875,-94.4154
82,176.43867,100,8200,10.173062562942505,-82.98764,-91.07623,-91.112305
83,-121.78858,100,8300,10.255222797393799,-80.478874,-89.927315,-91.481895
84,-125.76785,100,8400,10.339637994766235,-94.74559,-88.392914,-91.89007
85,-120.57171,100,8500,10.43168020248413,-90.9756,-87.08898,-92.2275
86,-240.12717,100,8600,10.577237367630005,-93.15393,-88.02532,-93.94726
87,-251.18494,100,8700,10.651051044464111,-93.89781,-88.9422,-95.75459
88,-275.50424,100,8800,10.73389720916748,-94.94713,-90.492424,-97.797195
89,-290.5571,100,8900,10.817006587982178,-102.07888,-91.79383,-99.963036
90,-285.5325,100,9000,11.00434136390686,-106.955,-93.115105,-102.02491
91,-58.15782,100,9100,12.135201215744019,-159.27531,-94.104744,-101.54286
92,-95.25746,100,9200,12.221708297729492,-186.44495,-94.17105,-101.47455
93,405.5604,100,9300,12.294496774673462,-133.71004,-82.482216,-96.02255
94,436.58347,100,9400,12.371915817260742,-77.4749,-70.39728,-90.35654
95,-231.50888,100,9500,12.454149007797241,-88.56862,-70.16789,-91.842354
96,-267.31888,100,9600,12.60713815689087,-91.287796,-70.12405,-93.67023
97,-283.43616,100,9700,12.68761420249939,-94.51292,-70.0838,-95.62658
98,-287.45346,100,9800,12.76434850692749,-95.70784,-70.36774,-97.58399
99,-283.41232,100,9900,12.840367555618286,-94.99336,-71.3397,-99.461044
100,-314.81247,100,10000,13.022063970565796,-97.921364,-75.00402,-101.61456
101,-179.77199,100,10100,13.174485445022583,-110.08278,-76.16353,-105.106514
102,-215.30551,100,10200,13.25087308883667,-122.087585,-77.90615,-108.43865
103,-286.39734,100,10300,13.63675332069397,-191.28336,-82.32079,-113.02243
104,-267.29477,100,10400,13.721153974533081,-261.67117,-89.07995,-115.453995
105,-144.86482,100,10500,13.806959867477417,-253.00676,-91.96334,-116.82453
106,-135.59612,100,10600,13.953503608703613,-239.83452,-91.73445,-117.797844
107,-100.946976,100,10700,14.035503387451172,-221.58557,-92.10831,-116.93824
108,-165.36018,100,10800,14.117485046386719,-209.37625,-96.952736,-116.344795
109,-217.99944,100,10900,14.20757269859314,-202.83496,-100.47911,-116.41029
110,-293.56064,100,11000,14.391103982925415,-200.70978,-103.58661,-117.58028
111,78.220406,100,11100,14.546491146087646,-174.91054,-101.44209,-114.569885
112,306.3505,100,11200,14.620701551437378,-122.744934,-92.741005,-109.96158
113,93.858475,100,11300,14.699044466018677,-84.71937,-92.877655,-107.909065
114,-142.74509,100,11400,14.771666288375854,-72.26438,-103.883125,-108.16971
115,-229.77321,100,11500,14.853252649307251,-80.755226,-110.62881,-110.80214
116,-264.2275,100,11600,14.99902606010437,-93.61836,-118.38837,-114.10854
117,-304.35788,100,11700,15.074464559555054,-113.95946,-127.61266,-116.02689
118,-289.6568,100,11800,15.156329870223999,-126.389114,-135.47417,-117.538475
119,-255.56165,100,11900,15.235760688781738,-130.14536,-138.93646,-117.75304
120,-242.09515,100,12000,15.413093090057373,-124.998795,-140.58696,-118.25736
121,8.683524,100,12100,15.56661057472229,-131.95248,-138.39597,-117.75479
122,-227.79861,100,12200,15.644569158554077,-185.36739,-139.9265,-119.46924
123,-127.19363,100,12300,16.057395935058594,-207.47261,-139.53287,-121.3526
124,-88.19238,100,12400,16.136687994003296,-202.01733,-141.63469,-120.67949
125,-104.74368,100,12500,16.214402198791504,-189.51437,-140.56412,-120.19427
126,37.888073,100,12600,16.366024494171143,-159.30281,-135.43948,-118.452385
127,-31.084415,100,12700,16.443338632583618,-131.97548,-131.18625,-116.8443
128,-206.5038,100,12800,16.52237105369568,-123.66018,-130.0161,-117.8338
129,-255.20006,100,12900,16.60365080833435,-123.62401,-130.7353,-119.13428
130,-306.23837,100,13000,16.7866153717041,-130.03835,-132.12465,-119.90444
131,612.4259,100,13100,16.936458349227905,-69.6641,-129.17705,-112.7279
132,350.85196,100,13200,17.016257762908936,-11.799045,-125.68878,-108.38251
133,-85.87519,100,13300,17.093652963638306,-7.667197,-124.9705,-107.44891
134,-89.62493,100,13400,17.175710678100586,-7.8104525,-124.24766,-106.32028
135,9.436039,100,13500,17.25740361213684,3.6075206,-121.6475,-104.36823
136,59.886677,100,13600,17.39996075630188,5.8073816,-115.64722,-101.83628
137,359.93628,100,13700,17.47494912147522,44.90945,-103.42478,-96.183495
138,-175.8671,100,13800,17.55168890953064,47.973118,-101.43205,-95.96223
139,-299.04947,100,13900,17.624824285507202,43.58818,-101.601906,-96.69787
140,-321.08902,100,14000,17.816261768341064,42.103123,-102.31302,-97.71407
141,-140.90977,100,14100,17.960572242736816,-33.23045,-103.96806,-99.036415
142,-62.829285,100,14200,18.040249824523926,-74.59858,-103.3195,-98.745285
143,-44.66599,100,14300,18.11573362350464,-70.47765,-112.32402,-97.40314
144,-179.83003,100,14400,18.50375485420227,-79.49817,-124.652306,-97.524796
145,-225.85881,100,14500,18.582123517990112,-103.02765,-124.53931,-97.35359
146,-217.91031,100,14600,18.726688861846924,-130.80734,-123.551125,-96.837585
147,-188.04959,100,14700,18.81040334701538,-185.60593,-121.6434,-95.863594
148,-266.64365,100,14800,18.888997554779053,-194.6836,-121.2272,-95.79747
149,-264.28394,100,14900,18.968996286392212,-191.20705,-120.84463,-96.09218
150,-293.2007,100,15000,19.15453839302063,-188.4182,-120.41239,-97.70821
151,-171.80061,100,15100,19.305169105529785,-191.5073,-120.252975,-98.20826
152,-196.6247,100,15200,19.38805651664734,-204.88684,-119.879364,-98.89276
153,-222.65836,100,15300,19.467035055160522,-222.68608,-118.60456,-100.46269
154,-150.67947,100,15400,19.54322862625122,-219.77103,-116.27226,-102.67612
155,9.868525,100,15500,19.627391815185547,-196.19827,-113.177605,-102.57048
156,-148.9203,100,15600,19.778035402297974,-189.29927,-113.444084,-102.589264
157,-25.565805,100,15700,19.86817741394043,-173.0509,-111.93646,-102.022385
158,-165.58191,100,15800,19.950698614120483,-162.94473,-111.94091,-104.446815
159,-212.39882,100,15900,20.029860973358154,-157.75623,-111.82889,-106.153984
160,-264.08987,100,16000,20.21082329750061,-154.84512,-111.23946,-107.41304
161,-56.774776,100,16100,20.36088466644287,-143.34254,-113.93938,-107.690735
162,-80.35832,100,16200,20.43881869316101,-131.71591,-121.67355,-107.20727
163,-144.24524,100,16300,20.519416093826294,-123.874596,-126.43562,-109.65663
164,-203.74854,100,16400,20.92290711402893,-129.1815,-127.65569,-115.769394
165,-121.24062,100,16500,20.997788429260254,-142.29242,-125.48504,-118.056915
166,1767.2557,100,16600,21.13909912109375,49.325184,-84.85538,-101.62186
167,-153.65514,100,16700,21.21887707710266,36.51626,-81.84132,-104.72698
168,-170.6486,100,16800,21.291616916656494,36.009575,-79.46116,-107.46764
169,-203.94637,100,16900,21.378958463668823,36.854828,-78.42885,-108.68265
170,-280.65585,100,17000,21.561352014541626,35.198235,-79.20006,-109.89352
171,-235.25632,100,17100,21.704437971115112,17.350073,-84.07886,-111.23741
172,-220.00725,100,17200,21.789199113845825,3.385179,-83.923035,-111.92477
173,-225.23419,100,17300,21.867297649383545,-4.713713,-85.88385,-112.70835
174,-70.952,100,17400,21.93841814994812,8.565945,-85.53904,-113.58685
175,842.1131,100,17500,22.01105308532715,104.901306,-66.6019,-103.583015
176,49.171574,100,17600,22.154701948165894,-66.907104,-66.37623,-100.90786
177,-284.2966,100,17700,22.230733394622803,-79.97125,-71.440475,-101.31337
178,-314.17703,100,17800,22.30581760406494,-94.32408,-73.59395,-101.80502
179,47.9683,100,17900,22.387919664382935,-69.13264,-67.53057,-99.13294
180,15.599647,100,18000,22.57774543762207,-39.507072,-61.09382,-96.60923
181,-61.2596,100,18100,22.725376844406128,-22.10741,-74.56753,-101.87228
182,300.19415,100,18200,22.802858591079712,29.912735,-75.58067,-100.63472
183,-226.75491,100,18300,22.87569546699524,29.760654,-78.39828,-101.684395
184,-231.138,100,18400,22.956949949264526,13.742063,-81.22853,-102.7381
185,-229.69351,100,18500,23.320027351379395,-93.4386,-86.01112,-103.8293
186,-234.93689,100,18600,23.456806898117065,-121.84945,-91.907585,-103.77739
187,-282.99893,100,18700,23.53697443008423,-121.71968,-104.7663,-104.095535
188,-287.26614,100,18800,23.616920948028564,-119.02859,-106.994286,-104.21317
189,-232.24997,100,18900,23.692926168441772,-147.05042,-105.658295,-103.63009
190,-148.90938,100,19000,23.891596794128418,-163.50133,-102.21469,-102.26387
191,341.50012,100,19100,24.03142023086548,-123.22536,-92.566505,-98.26729
192,487.71048,100,19200,24.10547924041748,-104.47372,-81.55571,-92.43761
193,-58.560577,100,19300,24.184525728225708,-87.654274,-81.8336,-97.07882
194,-8.772666,100,19400,24.263237476348877,-65.417755,-78.412445,-101.53237
195,-101.20934,100,19500,24.344523191452026,-52.569324,-75.919464,-100.22936
196,-77.5446,100,19600,24.493510246276855,-36.83011,-73.11215,-98.331635
197,-186.89037,100,19700,24.57058596611023,-27.219242,-73.08897,-97.36618
198,-233.07123,100,19800,24.661518335342407,-21.799757,-72.41752,-96.82236
199,-220.85625,100,19900,24.736546516418457,-20.660381,-71.54896,-96.1968
200,-207.64867,100,20000,24.915659427642822,-26.534317,-69.83792,-95.12515
201,114.37082,100,20100,25.068772554397583,-49.24724,-64.114494,-92.18372
202,-58.5586,100,20200,25.14245629310608,-103.874146,-61.353172,-90.61626
203,89.869385,100,20300,25.227919101715088,-89.03115,-55.102615,-86.85359
204,-67.561745,100,20400,25.306740522384644,-94.910065,-53.44026,-84.85626
205,867.48315,100,20500,25.686733961105347,1.9591919,-36.287968,-74.73277
206,-191.8008,100,20600,25.826802253723145,-9.466433,-37.145576,-75.29482
207,-220.60982,100,20700,25.903188228607178,-12.838376,-41.046463,-76.49146
208,-266.68338,100,20800,25.97487473487854,-16.199589,-43.068493,-77.50469
209,-249.12039,100,20900,26.05996036529541,-19.026007,-43.802925,-77.81591
