episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-206.2059,100,100,0.28757619857788086,-206.2059,-206.2059,-206.2059
2,-203.65698,100,200,0.5919551849365234,-204.93144,-204.93144,-204.93144
3,-252.81235,100,300,1.1209046840667725,-220.89174,-220.89174,-220.89174
4,-245.93785,100,400,1.622230052947998,-227.15327,-227.15327,-227.15327
5,-206.8044,100,500,1.9748554229736328,-223.0835,-223.0835,-223.0835
6,-189.37994,100,600,2.2833588123321533,-217.46623,-217.46623,-217.46623
7,-195.07115,100,700,2.5826637744903564,-214.26694,-214.26694,-214.26694
8,-186.86827,100,800,2.8674356937408447,-210.8421,-210.8421,-210.8421
9,-183.54613,100,900,3.186481237411499,-207.80922,-207.80922,-207.80922
10,-183.66106,100,1000,3.49263334274292,-205.39441,-205.39441,-205.39441
11,-290.55774,100,1100,3.7904703617095947,-213.82959,-213.13654,-213.13654
12,-314.91962,100,1200,4.08339524269104,-224.95584,-221.61847,-221.61847
13,-207.47733,100,1300,4.399480104446411,-220.42233,-220.53069,-220.53069
14,-204.6146,100,1400,4.671666383743286,-216.29001,-219.39381,-219.39381
15,-206.23145,100,1500,4.964083671569824,-216.23271,-218.51633,-218.51633
16,-209.44684,100,1600,5.254523277282715,-218.23941,-217.94948,-217.94948
17,-207.57693,100,1700,5.55574107170105,-219.48999,-217.33932,-217.33932
18,-259.26782,100,1800,5.843641519546509,-226.72995,-219.66869,-219.66869
19,-265.13907,100,1900,6.121858596801758,-234.88925,-222.06186,-222.06186
20,-243.47844,100,2000,6.412433385848999,-240.871,-223.13269,-223.13269
21,-177.20596,100,2100,6.735821962356567,-229.53581,-220.94571,-220.94571
22,-243.39435,100,2200,7.0279624462127686,-222.38327,-221.96611,-221.96611
23,-238.74126,100,2300,7.309237241744995,-225.50967,-222.69547,-222.69547
24,-247.58246,100,2400,7.601289749145508,-229.80647,-223.7324,-223.7324
25,-177.81406,100,2500,7.907327890396118,-226.96472,-221.89566,-221.89566
26,-149.5203,100,2600,8.181495189666748,-220.97208,-219.112,-219.112
27,-147.4209,100,2700,8.46854043006897,-214.95645,-216.45677,-216.45677
28,-150.83194,100,2800,8.76347017288208,-204.11287,-214.11304,-214.11304
29,-141.18109,100,2900,9.074841499328613,-191.71707,-211.59814,-211.59814
30,-132.58833,100,3000,9.375894546508789,-180.62808,-208.9645,-208.9645
31,-312.95346,100,3100,9.775300025939941,-194.20282,-212.31897,-212.31897
32,-217.99791,100,3200,10.145104885101318,-191.66318,-212.49643,-212.49643
33,-237.49118,100,3300,10.432825326919556,-191.53818,-213.25385,-213.25385
34,-238.56438,100,3400,10.901750802993774,-190.63634,-213.99828,-213.99828
35,-227.492,100,3500,11.19932746887207,-195.60416,-214.38382,-214.38382
36,-217.69037,100,3600,11.503095626831055,-202.42114,-214.47566,-214.47566
37,-238.66539,100,3700,11.791057586669922,-211.54561,-215.12944,-215.12944
38,-228.3162,100,3800,12.078768730163574,-219.29404,-215.47647,-215.47647
39,-220.4105,100,3900,12.373821020126343,-227.21696,-215.603,-215.603
