ref_delta_1,ref_delta_2,ref_delta_3,control_1,control_2,control_3
2.63643944,0.030626760000000176,-0.08234059999999985,0.6663861992464952,0.30239291986568345,0.6067341981624584
2.6361683,0.037957300000000194,-0.07665849999999974,0.6893286068862572,0.37721040057620836,0.6287032927918793
2.65211502,0.029770240000000125,-0.0629561999999993,0.7126282745274051,0.45132866969212365,0.6502907846844345
2.6516400900000003,0.03874453000000013,-0.05644389999999931,0.735843508405061,0.5253096871234607,0.6717850220306489
2.65116516,0.04771882000000014,-0.04993159999999931,0.7551069407782267,0.5990763141719525,0.6880820753849335
2.65116516,0.04771882000000014,-0.04993159999999931,0.7716331727825986,0.6722461313637876,0.7042416364229962
2.6506902300000004,0.056693110000000144,-0.043419299999999335,0.7881099057494995,0.7453010266149444,0.7212373821377714
2.6464127600000005,0.034533680000000275,-0.012266400000000033,0.776399652545108,0.7417513625668546,0.7151751975945481
2.6458607300000003,0.04318889000000028,-0.006003700000000123,0.7688924893760163,0.740089635899214,0.7111627466953674
2.6453087,0.05184410000000028,0.0002589999999997872,0.7674986259392077,0.7384620698009042,0.696938888610537
2.6453087,0.05184410000000028,0.0002589999999997872,0.7731853259733981,0.7449799540929043,0.6928576908151192
2.6445732700000004,0.05913015000000028,0.005938299999999862,0.7943324533685044,0.7513549652192906,0.7052281888812091
2.64383784,0.06641620000000027,0.011617599999999936,0.8149815618438798,0.7585651936440335,0.7183672067228759
2.64310241,0.07370225000000029,0.017296900000000018,0.8348342223575004,0.7652620908294119,0.7180752769512013
2.6369063700000006,0.0667129800000002,0.027282449999999694,0.8633842675011023,0.7809603202827741,0.7302336861929111
2.6362106600000006,0.07341814000000016,0.03227209999999978,0.8953193487009847,0.8172905836417169,0.7436899695610599
2.65919534,0.07888618000000015,0.04349829999999989,0.9378963615150372,0.858718661337432,0.7646034295994738
2.65919534,0.07888618000000015,0.04349829999999989,0.9854402422991614,0.9048115003880662,0.7923915506298123
2.65223238,0.07912550000000004,0.0638140000000007,1.0326883553881723,0.9506470264415805,0.8183617709694107
2.65223238,0.07912550000000004,0.0638140000000007,1.0749511709783406,0.9946027819495106,0.8542879049101817
2.6510698600000002,0.08726055000000006,0.0704065000000007,1.110104240353871,1.0303929309287279,0.879544172349441
2.6510698600000002,0.08726055000000006,0.0704065000000007,1.1298190235914982,1.0659601055381307,0.8875852675172639
2.649907340000001,0.09539560000000007,0.0769990000000007,1.149556947847811,1.1015010378006067,0.8962619510029765
2.6487448200000006,0.10353065000000009,0.0835915000000007,1.1704601035965967,1.137557729585172,0.918619886605265
2.6487448200000006,0.10353065000000009,0.0835915000000007,1.1835670707208197,1.1645670655907583,0.9338089719776435
2.6688426700000005,0.0875990500000002,0.11575710000000043,1.1960236047485404,1.1717556449421824,0.9478838371851858
2.66721134,0.09660460000000021,0.12287320000000043,1.1979638286298815,1.1760848683876404,0.950321191413591
2.66721134,0.09660460000000021,0.12287320000000043,1.1951825413263704,1.1765860133634787,0.9454103907173974
2.66558001,0.10561015000000024,0.12998930000000045,1.1923011228632252,1.1875911739688882,0.9417348588623164
2.66558001,0.10561015000000024,0.12998930000000045,1.1890816352953548,1.2004684508641765,0.9377129642625014
2.6639486800000007,0.11461570000000024,0.13710540000000043,1.185583480454601,1.213590999140082,0.9340776287566186
2.63981695,0.09520590000000007,0.1582189999999999,1.1824376658037146,1.2270932584286303,0.9311547139097824
2.6386710200000003,0.10178928000000002,0.1637591999999998,1.1790810217274483,1.2409317733217897,0.9274443728886282
2.6386710200000003,0.10178928000000002,0.1637591999999998,1.1751721111213969,1.2546098400217587,0.9241693604231762
2.63752509,0.10837265999999998,0.1692993999999997,1.1757226011367947,1.2665249553000628,0.9176984688871175
2.63752509,0.10837265999999998,0.1692993999999997,1.175892005156607,1.2778320417145674,0.9110521912747496
2.63637916,0.11495603999999995,0.1748395999999996,1.1754691186583588,1.2872232771132226,0.9081362545735638
2.6532677200000006,0.10812772000000015,0.19145899999999932,1.1810009589260269,1.2955479598436732,0.9047976021266776
2.6520495600000005,0.11614971000000018,0.19716199999999928,1.1848609635956555,1.2936937548770724,0.9018441550161191
2.6520495600000005,0.11614971000000018,0.19716199999999928,1.1887303467252224,1.2912901628186755,0.8992915970031572
2.6508314000000004,0.12417170000000022,0.20286499999999918,1.1928996749278336,1.2883385022576896,0.896932661221223
