Time (s),Y Position (mm)
0.0,0.1748917995354158
0.01,0.0574448024918584
0.02,0.0656750719157178
0.03,0.2902762598496005
0.04,0.2974025246516621
0.05,0.3042813286187206
0.06,0.3108843601038583
0.07,0.3171814078763765
0.08,0.1165040769733034
0.09,0.3287373645269859
0.1,0.3339566145163494
0.11,0.2444264118220826
0.12,0.3431377948847393
0.13,0.22866907593137
0.14,0.3505314794187906
0.15,0.2149718444322224
0.16,0.3560030501913092
0.17,0.2208073180365903
0.18,0.3594771500123032
0.19,0.2166094494953218
0.2,0.183559748931655
0.21,0.1854018304698616
0.22,0.1866877624960452
0.23,0.1874821658982342
0.24,0.1876686353975333
0.25,0.1872772455755564
0.26,0.1863962477075242
0.27,0.1919424010316968
0.28,0.197127414955645
0.29,0.2018650247710112
0.3,0.2061157722183056
0.31,0.2098839233247871
0.32,0.3298390071627102
0.33,0.215729596182727
0.34,0.2177804450336277
0.35000000000000003,0.2191487532867499
0.36,0.30371637686606
0.37,0.219967088576503
0.38,0.219284795321217
0.39,0.2847056766190973
0.4,0.2806653691622923
0.41000000000000003,0.2778998796979894
0.42,0.2747567696200743
0.43,0.269428633756882
0.44,0.2644083534440182
0.45,0.2595917168786837
0.46,0.255187729487084
0.47000000000000003,0.2707033739902629
0.48,0.2900350313145242
0.49,0.3095876967563298
0.5,0.3293387915190031
0.51,0.3492090407152404
0.52,0.3691480299630427
0.53,0.3891213722954011
0.54,0.4090644150918472
0.55,0.5060978274043201
0.56,0.5150254986081706
0.5700000000000001,0.5257238581654953
0.58,0.5359081818721455
0.59,0.5455370886462461
0.6,0.5545647672518222
0.61,0.402658406261549
0.62,0.3913416260215385
0.63,0.3808542407023689
0.64,0.371475753317758
0.65,0.3657560902481702
0.66,0.3581192695915859
0.67,0.3529767159944347
0.68,0.3511443475461316
0.6900000000000001,0.347324119362546
0.7000000000000001,0.613354922744639
0.71,0.6119449255175644
0.72,0.6089279998704463
0.73,0.6043530794428745
0.74,0.601717911582898
0.75,0.5987256375259673
0.76,0.5948725982696748
0.77,0.5908923456998895
0.78,0.5860341150002533
0.79,0.580255809790097
0.8,0.5735556183984463
0.81,0.5659677232324124
0.8200000000000001,0.5575275931340138
0.8300000000000001,0.5502433042582446
0.84,0.9564604766646448
0.85,0.9697780008481331
0.86,0.9660923621268164
0.87,0.9654210961297744
0.88,0.9661075024408928
0.89,0.9539285815586538
0.9,0.9615697644849448
0.91,0.953973441246495
0.92,0.964172120038082
0.93,0.9668275287444636
0.9400000000000001,0.9666925275382128
0.9500000000000001,0.9652440456297828
0.96,0.7506571385604263
0.97,0.8950596465193168
0.98,0.9740529331233012
0.99,0.8099791561884565
1.0,0.8289619647491137
1.01,0.847423910523485
1.02,0.8652803777709701
1.03,0.8824614704918131
1.04,0.8988937659697673
1.05,0.9145047725628676
1.06,0.929228535361732
1.07,0.9429951838772652
1.08,0.9557401365714522
1.09,0.9674224946304836
1.1,0.977965212124024
1.11,0.9873282037305192
1.12,0.9954607254592076
1.1300000000000001,1.0023218905704925
1.1400000000000001,1.0078755914016877
1.1500000000000001,1.012089367663519
1.16,1.0149336064978904
1.17,1.0163913524634542
1.18,1.0164439540046442
1.19,1.0150816029212617
1.2,1.0123025167898183
1.21,1.0173275470611212
1.22,1.021370288113388
1.23,1.0240197511081446
1.24,1.0248573765577598
1.25,1.0238605231882896
1.26,1.0210162352395964
1.27,1.0163259348211189
1.28,1.0097906449535976
1.29,1.0014257851237185
1.3,0.991253499839595
1.31,0.9942101396266214
1.32,1.056193300960868
1.33,1.114831677518743
1.34,1.1593370181309983
1.35,1.1771414175885302
1.36,1.193449736775061
1.37,1.2082848454857975
1.3800000000000001,1.2230629999493128
1.3900000000000001,1.2361154565583334
1.4000000000000001,1.2473854436361602
1.41,1.2568461141631655
1.42,1.264426532867764
1.43,1.2701060223808966
1.44,1.2738516582751245
1.45,1.2790506781456412
1.46,1.2809693973897074
1.47,1.281043451861027
1.48,1.2798783747537044
1.49,1.2774848997493755
1.5,1.2738521209832994
1.51,1.269011768406514
1.52,1.2629571434178604
1.53,1.2557115862913295
1.54,1.2473006194538498
1.55,1.2377526587409873
1.56,1.2323310072030436
1.57,1.2309555749969423
1.58,1.2288046683604426
1.59,1.2258856437796046
1.6,1.222208853062917
1.61,1.2177891257411422
1.62,1.21265331024665
1.6300000000000001,1.2068098954349409
1.6400000000000001,1.2002866966090155
1.6500000000000001,1.193114993506884
1.6600000000000001,1.1881949279454151
1.67,1.1882880303177703
1.68,1.1873135132865549
1.69,1.1852665855458846
1.7,1.1883715133066828
1.71,1.194065710205518
1.72,1.2199146917431785
1.73,1.2690470589114926
1.74,1.3170520959968557
1.75,1.3637316859510096
1.76,1.4089530374810195
1.77,1.4525049572140083
1.78,1.4806336973688434
1.79,1.4883935220910185
1.8,1.495943001409954
1.81,1.503266957620042
1.82,1.5103366640825968
1.83,1.5171345523751207
1.84,1.5238773003123884
1.85,1.544899106982404
1.86,1.5639275815602862
1.87,1.58088518576293
1.8800000000000001,1.5956917611929302
1.8900000000000001,1.608297687156675
1.9000000000000001,1.6186330321020246
1.9100000000000001,1.6266710959041653
1.92,1.6323555439192918
1.93,1.6356704225456404
1.94,1.63658968076729
1.95,1.6351160538810112
1.96,1.6312334545052507
1.97,1.6249705579368825
1.98,1.6163285183752485
1.99,1.6053622383921136
2.0,1.5920954524120174
2.0100000000000002,1.5765726504944186
2.02,1.583264180939628
2.0300000000000002,1.599210696675337
2.04,1.6127724677884712
2.05,1.6238826625535785
2.06,1.6324880751793558
2.07,1.6385284061892833
2.08,1.641981923241837
2.09,1.642815162998358
2.1,1.64100295214988
2.11,1.6365504921111893
2.12,1.6268688843426296
2.13,1.600582985361748
2.14,1.5764182482790188
2.15,1.56660189008567
2.16,1.5681859342312447
2.17,1.5711624603115266
2.18,1.5705716487552792
2.19,1.5663984629662089
2.2,1.5586490110950406
2.21,1.5486522000627836
2.22,1.5339282093470623
2.23,1.5141345938897743
2.24,1.510595319473341
2.25,1.505888220207106
2.2600000000000002,1.575026223010039
2.27,1.632972034826377
2.2800000000000002,1.673876240008841
2.29,1.727863394916162
2.3000000000000003,1.7741033753016235
2.31,1.796039005052346
2.32,1.8102536786882888
2.33,1.8220687983187331
2.34,1.8314330364017632
2.35,1.8382921522128508
2.36,1.842604754393461
2.37,1.844345236826156
2.38,1.843489200467621
2.39,1.8400261276358727
2.4,1.8339611467811436
2.41,1.8277967298978028
2.42,1.8251140715191303
2.43,1.82058704514628
2.44,1.8142159851290756
2.45,1.806021735746753
2.46,1.7960311182191049
2.47,1.784273089033541
2.48,1.7724772188101652
2.49,1.7617439939676829
2.5,1.7493684746490288
2.5100000000000002,1.7353933683107226
2.52,1.719877792451448
2.5300000000000002,1.7028777365651355
2.54,1.6931730333771216
2.5500000000000003,1.6831124250368954
2.56,1.6714871517041188
2.57,1.6661156994137905
2.58,1.6607941550319048
2.59,1.6566008955727125
2.6,1.651062136595178
2.61,1.6442028684621783
2.62,1.636046073335434
2.63,1.6266202334382491
2.64,1.6169848594733
2.65,1.6225643006128994
2.66,1.7391982006666415
2.67,1.7148565444560022
2.68,1.69067009577548
2.69,1.667223694262407
2.7,1.6446884992162478
2.71,1.6225446110892443
2.72,1.599199700289575
2.73,1.5760023126975773
2.74,1.554137101856779
2.75,1.5327657086277835
2.7600000000000002,1.513134560312001
2.77,1.494709839669702
2.7800000000000002,1.4776539274391394
2.79,1.4636883689681208
2.8000000000000003,1.3583769996425945
2.81,1.3547415998979009
2.82,1.3582483691239446
2.83,1.3577902331554847
2.84,1.3664823719113306
2.85,1.3732482399305648
2.86,1.387055717429985
2.87,1.413768753767892
2.88,1.4560936207556203
2.89,1.517377756776745
2.9,1.568206655191601
2.91,1.6201035327650926
2.92,1.67215168658547
2.93,1.7287285647071204
2.94,1.7630894233582153
2.95,1.7996741059273664
2.96,2.276194191085491
2.97,2.2707216885317005
2.98,2.272480570473637
2.99,2.288413543301288
