Time (s),X Position (mm)
0.0,0.1552202572759232
0.01,0.0701285937074634
0.02,0.072786744205826
0.03,0.273846041550801
0.04,0.278109995328932
0.05,0.2817158219810641
0.06,0.2846423146295465
0.07,0.2868699533749168
0.08,0.0819186051532569
0.09,0.289157830332453
0.1,0.289213567446387
0.11,0.184701856479784
0.12,0.2871095345515351
0.13,0.1547206219732722
0.14,0.2821096630989055
0.15,0.1261770580175019
0.16,0.2743118977830844
0.17,0.1184502514360253
0.18,0.2639080510170708
0.19,0.0996763650657101
0.2,0.0469968831503426
0.21,0.0402965696421055
0.22,0.0330606176598022
0.23,0.0253869273810742
0.24,0.0172808981916368
0.25,0.0087418983625803
0.26,0.0
0.27,0.0
0.28,6.975205000981681e-07
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.1468604364207608
0.33,0.0
0.34,0.0
0.35000000000000003,0.0
0.36,0.1065948682254178
0.37,0.0
0.38,0.0
0.39,0.0843342005292691
0.4,0.081652070213968
0.41000000000000003,0.081524359289067
0.42,0.0815169963412002
0.43,0.0789971537823282
0.44,0.0775525155531974
0.45,0.0770686708669105
0.46,0.0777729048243244
0.47000000000000003,0.1002504382281974
0.48,0.1274905165407956
0.49,0.1556843125258726
0.5,0.1847920896818022
0.51,0.2147087617620695
0.52,0.2453570561764302
0.53,0.2766730131592022
0.54,0.3085567435199689
0.55,0.4226688825032083
0.56,0.4425542902121835
0.5700000000000001,0.4667428442174913
0.58,0.4907939374416288
0.59,0.5146131758240639
0.6,0.538099129379139
0.61,0.3877378020899514
0.62,0.3893687917504706
0.63,0.3921339600183632
0.64,0.3962712251842409
0.65,0.4036130188768551
0.66,0.4102031221908625
0.67,0.4186944626048468
0.68,0.4301164880076698
0.6900000000000001,0.4398526326054084
0.7000000000000001,0.7455398138040542
0.71,0.7567846353087695
0.72,0.7656820175387916
0.73,0.7722297906504162
0.74,0.7810150061696443
0.75,0.7889204960929989
0.76,0.7952156624365595
0.77,0.7996944567275263
0.78,0.8024913113971258
0.79,0.8036241466577678
0.8,0.8030465919779926
0.81,0.8007517577972477
0.8200000000000001,0.7967382988864204
0.8300000000000001,0.7929705772077781
0.84,1.235652415866766
0.85,1.2503276509456909
0.86,1.2464923351709762
0.87,1.2449415121647651
0.88,1.2439079757405227
0.89,1.2287174794298468
