trajectory,T (ms),volume_1 (mm),volume_2 (mm),volume_3 (mm),k,pressure_1 (bar),pressure_2 (bar),pressure_3 (bar),base_x (cm),base_y (cm),base_z (cm),tip_x (cm),tip_y (cm),tip_z (cm),tip_velocity_x (cm/s),tip_velocity_y (cm/s),tip_velocity_z (cm/s),tip_acceleration_x (cm/ss),tip_acceleration_y (cm/ss),tip_acceleration_z (cm/ss),timestamp
0,0.0,115.00494921874994,115.00147656249996,115.00147656249996,0,0.0089873349164337,-0.0039294989890521,-0.0719774005132201,4.9624114,1.7803669,-6.977475,2.3387303,-0.17773223,0.053016663,,,,,,,1753087507.1169257
0,17.168760299682617,115.00494921874994,115.00147656249996,115.00147656249996,1,0.0102993546122635,-0.0026174792932209,-0.0759134596007094,4.9624114,1.7803669,-6.977475,2.3387303,-0.17773223,0.053016663,0.0,0.0,0.0,,,,1753087507.1340945
0,30.57098388671875,115.00494921874994,115.00147656249996,115.00147656249996,2,0.0102993546122635,6.560098437802253e-06,-0.0719774005132201,4.9624114,1.7803669,-6.977475,2.3386226,-0.1780051,0.05367899,-0.008040844,-0.020360058,0.049419172,-0.5999635,-1.5191553,3.687386,1753087507.1474967
0,43.58649253845215,115.00494921874994,115.00147656249996,115.00147656249996,3,0.0089873349164337,6.560098437802253e-06,-0.0746014399048796,4.9624114,1.7803669,-6.977475,2.3386226,-0.1780051,0.05367899,0.0,0.0,0.0,0.6177895,1.5642922,-3.796945,1753087507.1605122
0,57.706594467163086,115.00494921874994,115.00147656249996,115.00147656249996,4,0.0089873349164337,6.560098437802253e-06,-0.0732894202090499,4.9624114,1.7803669,-6.977475,2.3386226,-0.1780051,0.05367899,0.0,0.0,0.0,0.0,0.0,0.0,1753087507.1746323
0,70.831298828125,115.00494921874994,115.00147656249996,115.00147656249996,5,0.012923394003923,0.0013185797942689,-0.0719774005132201,4.9624114,1.7803669,-6.977475,2.338313,-0.1768961,0.052681446,-0.023578994,0.084497444,-0.07600501,-1.7965353,6.4380455,-5.7909884,1753087507.187757
0,84.4120979309082,115.00494921874994,115.00147656249996,115.00147656249996,6,0.0063632955247742,-0.0026174792932209,-0.0719774005132201,4.9624114,1.7803669,-6.977475,2.338313,-0.1768961,0.052681446,0.0,0.0,0.0,1.7362008,-6.2218313,5.596505,1753087507.2013378
0,97.79834747314453,115.00494921874994,115.00147656249996,115.00147656249996,7,0.002427236437285,-0.0013054595973898,-0.0785374989923689,4.9624114,1.7803669,-6.977475,2.3383665,-0.17663825,0.052960396,0.0039895987,0.01926228,0.020838529,0.29803708,1.4389602,1.5567116,1753087507.214724
0,110.86010932922363,115.00494921874994,115.00147656249996,115.00147656249996,8,0.007675315220604,6.560098437802253e-06,-0.0746014399048796,4.9624114,1.7803669,-6.977475,2.338602,-0.17641771,0.05254793,0.018034134,0.016884184,-0.031577986,1.0752405,-0.18206555,-4.0129743,1753087507.2277858
0,124.82786178588867,115.00494921874994,115.00147656249996,115.00147656249996,9,0.0116113743080932,-0.0013054595973898,-0.0746014399048796,4.9624114,1.7803669,-6.977475,2.338602,-0.17641771,0.05254793,0.0,0.0,0.0,-1.2911264,-1.2087975,2.260778,1753087507.2417536
