episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100,avg_distance,final_distance
1,-268.72400069236755,100,100,0.45858311653137207,-268.72400069236755,-268.72400069236755,-268.72400069236755,2.6872399962280142,3.0607017769990836
2,-313.41901245713234,100,200,0.6132895946502686,-291.07150657474995,-291.07150657474995,-291.07150657474995,3.134190130441011,2.5297797505745296
3,-250.09628430008888,100,300,0.7624454498291016,-277.41309914986294,-277.41309914986294,-277.41309914986294,2.5009628588473025,2.3043432566141746
4,-251.18393549323082,100,400,0.912717342376709,-270.8558082357049,-270.8558082357049,-270.8558082357049,2.511839344497042,3.0292001466095955
5,-245.40748286992311,100,500,1.0671775341033936,-265.76614316254853,-265.76614316254853,-265.76614316254853,2.4540748343081322,1.38682642792809
6,-184.9329638928175,100,600,1.304100513458252,-252.29394661759338,-252.29394661759338,-252.29394661759338,1.8493296425558259,1.9663698604351296
7,-290.26483702659607,100,700,1.4670441150665283,-257.7183595331652,-257.7183595331652,-257.7183595331652,2.90264837004753,3.165364368643563
8,-149.78563283383846,100,800,1.6198511123657227,-244.22676869574934,-244.22676869574934,-244.22676869574934,1.4978563285951358,1.0560688884208356
9,-170.25650703907013,100,900,1.7690961360931396,-236.0078507338961,-236.0078507338961,-236.0078507338961,1.702565078943222,1.3097111543472344
10,-173.97992718219757,100,1000,1.9154636859893799,-229.80505837872624,-229.80505837872624,-229.80505837872624,1.7397992813901442,1.5342003669767026
11,-131.19220331311226,100,1100,2.1917550563812256,-216.0518786408007,-220.84025337276134,-220.84025337276134,1.3119220321973202,1.6220187565204107
12,-132.4692109376192,100,1200,2.3393309116363525,-197.9568984888494,-213.47599983649948,-213.47599983649948,1.3246921150573976,0.9634750738386898
13,-212.54066008329391,100,1300,2.4964749813079834,-194.2013360671699,-213.40405062471444,-213.40405062471444,2.12540659774253,1.4497063367859937
14,-225.33162015676498,100,1400,2.6453378200531006,-191.61610453352333,-214.25601987700378,-214.25601987700378,2.253316195459015,2.3443404753346764
15,-265.3451046347618,100,1500,2.7927424907684326,-193.6098667100072,-217.6619588608543,-217.6619588608543,2.6534510474372026,2.370221027424582
16,-253.19915628060699,100,1600,3.1194887161254883,-200.43648594878613,-219.88303369958885,-219.88303369958885,2.5319915700281017,2.6493049557483577
17,-244.70652970671654,100,1700,3.34749698638916,-195.88065521679817,-221.34323934706694,-221.34323934706694,2.4470652967743116,2.6493049557483577
18,-248.7903769314289,100,1800,3.5778956413269043,-205.78112962655723,-222.86808032397596,-222.86808032397596,2.487903775823832,2.0312466896180066
