T,rod1_torque_x,rod1_torque_y,rod2_torque_x,rod2_torque_y,tip_position_x,tip_position_y,tip_position_z,tip_velocity_x,tip_velocity_y,tip_velocity_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.02000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.04000000000000063,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.060000000000001205,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.07999999999999935,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.09999999999999715,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.11999999999999494,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.13999999999999274,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.15999999999999054,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.17999999999998834,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.19999999999998613,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.21999999999998393,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.23999999999998173,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.2599999999999795,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.2799999999999773,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.2999999999999751,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.3199999999999729,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.3399999999999707,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.3599999999999685,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.3799999999999663,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.3999999999999641,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.4199999999999619,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.4399999999999597,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.4599999999999575,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.4799999999999553,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.4999999999999531,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,0.0,0.0
0.519999999999951,0.07085067120130759,0.02792405986426907,0.03732796755396283,0.03707113249062074,-0.0007048310436126867,0.0007434924920528844,-0.7999950558740653,-0.055900769098889615,0.058967042529763355,0.0006761998896228094
0.5399999999999487,0.07017459511945762,0.0281093734165402,0.03800421257529151,0.03688642133967525,-0.002072101414693911,0.0021857668093387644,-0.7999688286964403,-0.07956277933391726,0.08393064970526302,0.0020567509707905434
0.5599999999999465,0.06981103265537787,0.028334357964748143,0.038368255713928746,0.03666281136902378,-0.0038573577616501727,0.004062543541322977,-0.7999077902850951,-0.09872903427841516,0.10291614758325791,0.004261915443518629
0.5799999999999443,0.06880786432943196,0.028048637558980682,0.03937199016108252,0.03695119885814332,-0.0059680624914907,0.006290664061373565,-0.7998023577418826,-0.1112617329720297,0.1196944772453889,0.00635854115345673
0.5999999999999421,0.06833557407884601,0.02813431191393359,0.03984438193605032,0.0368703260658798,-0.008287046061665937,0.008839543178849489,-0.7996512762253418,-0.12047272722884006,0.13488925032014304,0.008727497670529804
0.6199999999999399,0.06826242843070901,0.028533535344332756,0.03991686445918436,0.03647846978067241,-0.010789337466706576,0.011674022815351084,-0.7994531718251049,-0.13009017206905577,0.148341175675108,0.011267906182880358
0.6399999999999377,0.06837493370786506,0.029103298843837524,0.03980290735445656,0.03591856203042508,-0.013489693342209312,0.014759701139994476,-0.7991999371727151,-0.13990400398812028,0.15990940847398313,0.014102550560233873
0.6599999999999355,0.06863149990920489,0.029727722432345824,0.03954419451439636,0.035306164534168696,-0.016391733263973224,0.018062012445529012,-0.7988880892463741,-0.1505305734335983,0.17017465193202697,0.017045782202910954
0.6799999999999333,0.06894806086278084,0.0303626987153819,0.03922491801786479,0.03468498041235584,-0.01952010249295011,0.02156176669633305,-0.7985196299141376,-0.16246790001000846,0.17967095713174397,0.019924166909354543
0.6999999999999311,0.06923797472433199,0.0309959853281518,0.03893190754698779,0.03406671992908265,-0.022894254748752542,0.025244115843782555,-0.7980895657837627,-0.1750065232227838,0.18844159439030073,0.023138643128766772
0.7199999999999289,0.06947514354766891,0.031637240716849306,0.03869151579521479,0.033441109545682315,-0.0265219002759253,0.02909419063638398,-0.7975912402182449,-0.1877738773445175,0.19642531278889985,0.026840747658345817
0.7399999999999267,0.06963111233073785,0.03225918835979448,0.0385324581016343,0.03283484139131796,-0.03040522495982928,0.03309651650969898,-0.7970147762532411,-0.2005246488665424,0.2037017714603772,0.03080998845872126
0.7599999999999245,0.06969973878544378,0.032839785845516827,0.0384610968047261,0.03226948994735859,-0.03454016968199447,0.037238263407379305,-0.7963568752141251,-0.2128898837185042,0.21039579698271124,0.03499403430348106
